ANNO DAZI;INFLUENZA;;;;;;
-0.1743 ;-;;;;;;
-0.1755 ;-;;;;;;
-0.0692 ;=;;;;;;
-0.0147 ;=;;;;;;
-0.1476 ;-;;;;;;
-0.0087 ;=;;;;;;
-0.2057 ;-;;;;;;
-0.1775 ;-;;;;;;
-0.1756 ;-;;;;;;
-0.1927 ;-;;;;;;
-0.1832 ;-;;;;;;
-0.0417 ;=;;;;;;
-0.1459 ;-;;;;;;
-0.0640 ;=;;;;;;
-0.1512 ;-;;;;;;
0.0000;=;;;;;;
-0.1834 ;-;;;;;;
-0.1583 ;-;;;;;;
-0.1589 ;-;;;;;;
-0.1972 ;-;;;;;;
-0.1268 ;-;;;;;;
 0.1675 ;+;;;;;;
-0.1589 ;-;;;;;;
-0.1849 ;-;;;;;;
-0.0408 ;=;;;;;;
-0.2438 ;-;;;;;;
-0.1732 ;-;;;;;;
-0.0155 ;=;;;;;;
-0.2919 ;-;;;;;;
-0.1923 ;-;;;;;;
-0.2497 ;-;;;;;;
-0.1904 ;-;;;;;;
-0.0099 ;=;;;;;;
-0.1556 ;-;;;;;;
-0.0734 ;=;;;;;;
-0.1791 ;-;;;;;;
-0.1983 ;-;;;;;;
-0.1504 ;-;;;;;;
-0.1601 ;-;;;;;;
-0.2000 ;-;;;;;;
-0.1809 ;-;;;;;;